Statistic Label,Year,Fuel Type,County of Ownership,Type of Vehicle,Year of Registration,UNIT,VALUE
Vehicle Population,2022,Other fuel types,Co. Westmeath,Goods vehicles,All years,Number,31
Vehicle Population,2022,Other fuel types,Co. Westmeath,Motor cycles,All years,Number,3
Vehicle Population,2022,Other fuel types,Co. Westmeath,Tractors & Machinery,All years,Number,0
Vehicle Population,2022,Other fuel types,Co. Westmeath,Small PSVs,All years,Number,20
Vehicle Population,2022,Other fuel types,Co. Westmeath,Large PSVs,All years,Number,0
Vehicle Population,2022,Other fuel types,Co. Westmeath,Exempt vehicles,All years,Number,38
Vehicle Population,2022,Other fuel types,Co. Westmeath,Other vehicles,All years,Number,2
Vehicle Population,2022,Other fuel types,Co. Wexford,Private cars,All years,Number,3958
Vehicle Population,2022,Other fuel types,Co. Wexford,Goods vehicles,All years,Number,47
Vehicle Population,2022,Other fuel types,Co. Wexford,Motor cycles,All years,Number,6
Vehicle Population,2022,Other fuel types,Co. Wexford,Tractors & Machinery,All years,Number,2
Vehicle Population,2022,Other fuel types,Co. Wexford,Small PSVs,All years,Number,14
Vehicle Population,2022,Other fuel types,Co. Wexford,Large PSVs,All years,Number,0
Vehicle Population,2022,Other fuel types,Co. Wexford,Exempt vehicles,All years,Number,68
Vehicle Population,2022,Other fuel types,Co. Wexford,Other vehicles,All years,Number,12
Vehicle Population,2022,Other fuel types,Co. Wicklow,Private cars,All years,Number,5827
Vehicle Population,2022,Other fuel types,Co. Wicklow,Goods vehicles,All years,Number,40
Vehicle Population,2022,Other fuel types,Co. Wicklow,Motor cycles,All years,Number,10
Vehicle Population,2022,Other fuel types,Co. Wicklow,Tractors & Machinery,All years,Number,0
Vehicle Population,2022,Other fuel types,Co. Wicklow,Small PSVs,All years,Number,43
Vehicle Population,2022,Other fuel types,Co. Wicklow,Large PSVs,All years,Number,1
Vehicle Population,2022,Other fuel types,Co. Wicklow,Exempt vehicles,All years,Number,68
Vehicle Population,2022,Other fuel types,Co. Wicklow,Other vehicles,All years,Number,6
Vehicle Population,2022,Other fuel types,Co. Clare,Private cars,All years,Number,3220
Vehicle Population,2022,Other fuel types,Co. Clare,Goods vehicles,All years,Number,20
Vehicle Population,2022,Other fuel types,Co. Clare,Motor cycles,All years,Number,2
Vehicle Population,2022,Other fuel types,Co. Clare,Tractors & Machinery,All years,Number,3
Vehicle Population,2022,Other fuel types,Co. Clare,Small PSVs,All years,Number,19
Vehicle Population,2022,Other fuel types,Co. Clare,Large PSVs,All years,Number,0
Vehicle Population,2022,Other fuel types,Co. Clare,Exempt vehicles,All years,Number,106
Vehicle Population,2022,Other fuel types,Co. Clare,Other vehicles,All years,Number,2
Vehicle Population,2022,Other fuel types,Co. Cork,Private cars,All years,Number,18465
Vehicle Population,2022,Other fuel types,Co. Cork,Goods vehicles,All years,Number,156
Vehicle Population,2022,Other fuel types,Co. Cork,Motor cycles,All years,Number,17
Vehicle Population,2022,Other fuel types,Co. Cork,Tractors & Machinery,All years,Number,2
Vehicle Population,2022,Other fuel types,Co. Cork,Small PSVs,All years,Number,136
Vehicle Population,2022,Other fuel types,Co. Cork,Large PSVs,All years,Number,0
Vehicle Population,2022,Other fuel types,Co. Cork,Exempt vehicles,All years,Number,472
Vehicle Population,2022,Other fuel types,Co. Cork,Other vehicles,All years,Number,12
Vehicle Population,2022,Other fuel types,Co. Kerry,Private cars,All years,Number,3413
Vehicle Population,2022,Other fuel types,Co. Kerry,Goods vehicles,All years,Number,15
Vehicle Population,2022,Other fuel types,Co. Kerry,Motor cycles,All years,Number,4
Vehicle Population,2022,Other fuel types,Co. Kerry,Tractors & Machinery,All years,Number,5
Vehicle Population,2022,Other fuel types,Co. Kerry,Small PSVs,All years,Number,11
Vehicle Population,2022,Other fuel types,Co. Kerry,Large PSVs,All years,Number,0
Vehicle Population,2022,Other fuel types,Co. Kerry,Exempt vehicles,All years,Number,87
Vehicle Population,2022,Other fuel types,Co. Kerry,Other vehicles,All years,Number,20
Vehicle Population,2022,Other fuel types,Co. Limerick,Private cars,All years,Number,5002
Vehicle Population,2022,Other fuel types,Co. Limerick,Goods vehicles,All years,Number,37
Vehicle Population,2022,Other fuel types,Co. Limerick,Motor cycles,All years,Number,4
Vehicle Population,2022,Other fuel types,Co. Limerick,Tractors & Machinery,All years,Number,2
Vehicle Population,2022,Other fuel types,Co. Limerick,Small PSVs,All years,Number,116
Vehicle Population,2022,Other fuel types,Co. Limerick,Large PSVs,All years,Number,2
Vehicle Population,2022,Other fuel types,Co. Limerick,Exempt vehicles,All years,Number,171
Vehicle Population,2022,Other fuel types,Co. Limerick,Other vehicles,All years,Number,7
Vehicle Population,2022,Other fuel types,Co. Tipperary,Private cars,All years,Number,3809
Vehicle Population,2022,Other fuel types,Co. Tipperary,Goods vehicles,All years,Number,25
Vehicle Population,2022,Other fuel types,Co. Tipperary,Motor cycles,All years,Number,4
Vehicle Population,2022,Other fuel types,Co. Tipperary,Tractors & Machinery,All years,Number,0
Vehicle Population,2022,Other fuel types,Co. Tipperary,Small PSVs,All years,Number,7
Vehicle Population,2022,Other fuel types,Co. Tipperary,Large PSVs,All years,Number,0
Vehicle Population,2022,Other fuel types,Co. Tipperary,Exempt vehicles,All years,Number,90
Vehicle Population,2022,Other fuel types,Co. Tipperary,Other vehicles,All years,Number,6
Vehicle Population,2022,Other fuel types,Co. Waterford,Private cars,All years,Number,3097
Vehicle Population,2022,Other fuel types,Co. Waterford,Goods vehicles,All years,Number,20
Vehicle Population,2022,Other fuel types,Co. Waterford,Motor cycles,All years,Number,4
Vehicle Population,2022,Other fuel types,Co. Waterford,Tractors & Machinery,All years,Number,2
Vehicle Population,2022,Other fuel types,Co. Waterford,Small PSVs,All years,Number,10
Vehicle Population,2022,Other fuel types,Co. Waterford,Large PSVs,All years,Number,0
Vehicle Population,2022,Other fuel types,Co. Waterford,Exempt vehicles,All years,Number,58
Vehicle Population,2022,Other fuel types,Co. Waterford,Other vehicles,All years,Number,4
Vehicle Population,2022,Other fuel types,Co. Galway,Private cars,All years,Number,8019
Vehicle Population,2022,Other fuel types,Co. Galway,Goods vehicles,All years,Number,49
Vehicle Population,2022,Other fuel types,Co. Galway,Motor cycles,All years,Number,4
Vehicle Population,2022,Other fuel types,Co. Galway,Tractors & Machinery,All years,Number,0
Vehicle Population,2022,Other fuel types,Co. Galway,Small PSVs,All years,Number,85
Vehicle Population,2022,Other fuel types,Co. Galway,Large PSVs,All years,Number,34
Vehicle Population,2022,Other fuel types,Co. Galway,Exempt vehicles,All years,Number,208
Vehicle Population,2022,Other fuel types,Co. Galway,Other vehicles,All years,Number,10
Vehicle Population,2022,Other fuel types,Co. Leitrim,Private cars,All years,Number,577
Vehicle Population,2022,Other fuel types,Co. Leitrim,Goods vehicles,All years,Number,3
Vehicle Population,2022,Other fuel types,Co. Leitrim,Motor cycles,All years,Number,0
Vehicle Population,2022,Other fuel types,Co. Leitrim,Tractors & Machinery,All years,Number,0
Vehicle Population,2022,Other fuel types,Co. Leitrim,Small PSVs,All years,Number,2
Vehicle Population,2022,Other fuel types,Co. Leitrim,Large PSVs,All years,Number,0
Vehicle Population,2022,Other fuel types,Co. Leitrim,Exempt vehicles,All years,Number,18
Vehicle Population,2022,Other fuel types,Co. Leitrim,Other vehicles,All years,Number,1
Vehicle Population,2022,Other fuel types,Co. Mayo,Private cars,All years,Number,2628
Vehicle Population,2022,Other fuel types,Co. Mayo,Goods vehicles,All years,Number,39
Vehicle Population,2022,Other fuel types,Co. Mayo,Motor cycles,All years,Number,2
Vehicle Population,2022,Other fuel types,Co. Mayo,Tractors & Machinery,All years,Number,0
Vehicle Population,2022,Other fuel types,Co. Mayo,Small PSVs,All years,Number,4
Vehicle Population,2022,Other fuel types,Co. Mayo,Large PSVs,All years,Number,0
Vehicle Population,2022,Other fuel types,Co. Mayo,Exempt vehicles,All years,Number,118
Vehicle Population,2022,Other fuel types,Co. Mayo,Other vehicles,All years,Number,11
Vehicle Population,2022,Other fuel types,Co. Roscommon,Private cars,All years,Number,1546
Vehicle Population,2022,Other fuel types,Co. Roscommon,Goods vehicles,All years,Number,7
Vehicle Population,2022,Other fuel types,Co. Roscommon,Motor cycles,All years,Number,0
Vehicle Population,2022,Other fuel types,Co. Roscommon,Tractors & Machinery,All years,Number,0
Vehicle Population,2022,Other fuel types,Co. Roscommon,Small PSVs,All years,Number,6
Vehicle Population,2022,Other fuel types,Co. Roscommon,Large PSVs,All years,Number,0
Vehicle Population,2022,Other fuel types,Co. Roscommon,Exempt vehicles,All years,Number,57
Vehicle Population,2022,Other fuel types,Co. Roscommon,Other vehicles,All years,Number,1
Vehicle Population,2022,Other fuel types,Co. Sligo,Private cars,All years,Number,1567
Vehicle Population,2022,Other fuel types,Co. Sligo,Goods vehicles,All years,Number,8
Vehicle Population,2022,Other fuel types,Co. Sligo,Motor cycles,All years,Number,1
Vehicle Population,2022,Other fuel types,Co. Sligo,Tractors & Machinery,All years,Number,0
Vehicle Population,2022,Other fuel types,Co. Sligo,Small PSVs,All years,Number,8
Vehicle Population,2022,Other fuel types,Co. Sligo,Large PSVs,All years,Number,0
Vehicle Population,2022,Other fuel types,Co. Sligo,Exempt vehicles,All years,Number,54
Vehicle Population,2022,Other fuel types,Co. Sligo,Other vehicles,All years,Number,5
Vehicle Population,2022,Other fuel types,Co. Cavan,Private cars,All years,Number,1699
Vehicle Population,2022,Other fuel types,Co. Cavan,Goods vehicles,All years,Number,38
Vehicle Population,2022,Other fuel types,Co. Cavan,Motor cycles,All years,Number,3
Vehicle Population,2022,Other fuel types,Co. Cavan,Tractors & Machinery,All years,Number,1
Vehicle Population,2022,Other fuel types,Co. Cavan,Small PSVs,All years,Number,11
Vehicle Population,2022,Other fuel types,Co. Cavan,Large PSVs,All years,Number,0
Vehicle Population,2022,Other fuel types,Co. Cavan,Exempt vehicles,All years,Number,34
Vehicle Population,2022,Other fuel types,Co. Cavan,Other vehicles,All years,Number,1
Vehicle Population,2022,Other fuel types,Co. Donegal,Private cars,All years,Number,3262
Vehicle Population,2022,Other fuel types,Co. Donegal,Goods vehicles,All years,Number,17
Vehicle Population,2022,Other fuel types,Co. Donegal,Motor cycles,All years,Number,5
Vehicle Population,2022,Other fuel types,Co. Donegal,Tractors & Machinery,All years,Number,1
Vehicle Population,2022,Other fuel types,Co. Donegal,Small PSVs,All years,Number,9
Vehicle Population,2022,Other fuel types,Co. Donegal,Large PSVs,All years,Number,0
Vehicle Population,2022,Other fuel types,Co. Donegal,Exempt vehicles,All years,Number,109
Vehicle Population,2022,Other fuel types,Co. Donegal,Other vehicles,All years,Number,9
Vehicle Population,2022,Other fuel types,Co. Monaghan,Private cars,All years,Number,985
Vehicle Population,2022,Other fuel types,Co. Monaghan,Goods vehicles,All years,Number,14
Vehicle Population,2022,Other fuel types,Co. Monaghan,Motor cycles,All years,Number,1
Vehicle Population,2022,Other fuel types,Co. Monaghan,Tractors & Machinery,All years,Number,0
Vehicle Population,2022,Other fuel types,Co. Monaghan,Small PSVs,All years,Number,1
Vehicle Population,2022,Other fuel types,Co. Monaghan,Large PSVs,All years,Number,0
Vehicle Population,2022,Other fuel types,Co. Monaghan,Exempt vehicles,All years,Number,18
Vehicle Population,2022,Other fuel types,Co. Monaghan,Other vehicles,All years,Number,1
Vehicle Population,2023,Petrol,Co. Carlow,Private cars,All years,Number,8824
Vehicle Population,2023,Petrol,Co. Carlow,Goods vehicles,All years,Number,7
Vehicle Population,2023,Petrol,Co. Carlow,Motor cycles,All years,Number,725
Vehicle Population,2023,Petrol,Co. Carlow,Tractors & Machinery,All years,Number,9
Vehicle Population,2023,Petrol,Co. Carlow,Small PSVs,All years,Number,1
Vehicle Population,2023,Petrol,Co. Carlow,Large PSVs,All years,Number,0
Vehicle Population,2023,Petrol,Co. Carlow,Exempt vehicles,All years,Number,40
Vehicle Population,2023,Petrol,Co. Carlow,Other vehicles,All years,Number,603
Vehicle Population,2023,Petrol,Co. Dublin,Private cars,All years,Number,261664
Vehicle Population,2023,Petrol,Co. Dublin,Goods vehicles,All years,Number,280
Vehicle Population,2023,Petrol,Co. Dublin,Motor cycles,All years,Number,12969
Vehicle Population,2023,Petrol,Co. Dublin,Tractors & Machinery,All years,Number,45
Vehicle Population,2023,Petrol,Co. Dublin,Small PSVs,All years,Number,326
Vehicle Population,2023,Petrol,Co. Dublin,Large PSVs,All years,Number,1
Vehicle Population,2023,Petrol,Co. Dublin,Exempt vehicles,All years,Number,1787
Vehicle Population,2023,Petrol,Co. Dublin,Other vehicles,All years,Number,5557
Vehicle Population,2023,Petrol,Co. Kildare,Private cars,All years,Number,41062
Vehicle Population,2023,Petrol,Co. Kildare,Goods vehicles,All years,Number,45
Vehicle Population,2023,Petrol,Co. Kildare,Motor cycles,All years,Number,2820
Vehicle Population,2023,Petrol,Co. Kildare,Tractors & Machinery,All years,Number,6
Vehicle Population,2023,Petrol,Co. Kildare,Small PSVs,All years,Number,11
Vehicle Population,2023,Petrol,Co. Kildare,Large PSVs,All years,Number,1
Vehicle Population,2023,Petrol,Co. Kildare,Exempt vehicles,All years,Number,137
Vehicle Population,2023,Petrol,Co. Kildare,Other vehicles,All years,Number,1700
Vehicle Population,2023,Petrol,Co. Kilkenny,Private cars,All years,Number,14529
Vehicle Population,2023,Petrol,Co. Kilkenny,Goods vehicles,All years,Number,18
Vehicle Population,2023,Petrol,Co. Kilkenny,Motor cycles,All years,Number,1141
Vehicle Population,2023,Petrol,Co. Kilkenny,Tractors & Machinery,All years,Number,15
Vehicle Population,2023,Petrol,Co. Kilkenny,Small PSVs,All years,Number,2
Vehicle Population,2023,Petrol,Co. Kilkenny,Large PSVs,All years,Number,0
Vehicle Population,2023,Petrol,Co. Kilkenny,Exempt vehicles,All years,Number,73
Vehicle Population,2023,Petrol,Co. Kilkenny,Other vehicles,All years,Number,760
Vehicle Population,2023,Petrol,Co. Laois,Private cars,All years,Number,10290
Vehicle Population,2023,Petrol,Co. Laois,Goods vehicles,All years,Number,12
Vehicle Population,2023,Petrol,Co. Laois,Motor cycles,All years,Number,706
Vehicle Population,2023,Petrol,Co. Laois,Tractors & Machinery,All years,Number,2
Vehicle Population,2023,Petrol,Co. Laois,Small PSVs,All years,Number,4
Vehicle Population,2023,Petrol,Co. Laois,Large PSVs,All years,Number,0
Vehicle Population,2023,Petrol,Co. Laois,Exempt vehicles,All years,Number,47
Vehicle Population,2023,Petrol,Co. Laois,Other vehicles,All years,Number,538
Vehicle Population,2023,Petrol,Co. Longford,Private cars,All years,Number,4592
Vehicle Population,2023,Petrol,Co. Longford,Goods vehicles,All years,Number,5
Vehicle Population,2023,Petrol,Co. Longford,Motor cycles,All years,Number,322
Vehicle Population,2023,Petrol,Co. Longford,Tractors & Machinery,All years,Number,6
Vehicle Population,2023,Petrol,Co. Longford,Small PSVs,All years,Number,2
Vehicle Population,2023,Petrol,Co. Longford,Large PSVs,All years,Number,0
Vehicle Population,2023,Petrol,Co. Longford,Exempt vehicles,All years,Number,24
Vehicle Population,2023,Petrol,Co. Longford,Other vehicles,All years,Number,249
Vehicle Population,2023,Petrol,Co. Louth,Private cars,All years,Number,20047
Vehicle Population,2023,Petrol,Co. Louth,Goods vehicles,All years,Number,20
Vehicle Population,2023,Petrol,Co. Louth,Motor cycles,All years,Number,1109
Vehicle Population,2023,Petrol,Co. Louth,Tractors & Machinery,All years,Number,26
Vehicle Population,2023,Petrol,Co. Louth,Small PSVs,All years,Number,12
Vehicle Population,2023,Petrol,Co. Louth,Large PSVs,All years,Number,0
Vehicle Population,2023,Petrol,Co. Louth,Exempt vehicles,All years,Number,156
Vehicle Population,2023,Petrol,Co. Louth,Other vehicles,All years,Number,638
Vehicle Population,2023,Petrol,Co. Meath,Private cars,All years,Number,31355
Vehicle Population,2023,Petrol,Co. Meath,Goods vehicles,All years,Number,34
Vehicle Population,2023,Petrol,Co. Meath,Motor cycles,All years,Number,2227
Vehicle Population,2023,Petrol,Co. Meath,Tractors & Machinery,All years,Number,13
Vehicle Population,2023,Petrol,Co. Meath,Small PSVs,All years,Number,18
Vehicle Population,2023,Petrol,Co. Meath,Large PSVs,All years,Number,0
Vehicle Population,2023,Petrol,Co. Meath,Exempt vehicles,All years,Number,139
Vehicle Population,2023,Petrol,Co. Meath,Other vehicles,All years,Number,1353
Vehicle Population,2023,Petrol,Co. Offaly,Private cars,All years,Number,9672
Vehicle Population,2023,Petrol,Co. Offaly,Goods vehicles,All years,Number,6
Vehicle Population,2023,Petrol,Co. Offaly,Motor cycles,All years,Number,850
Vehicle Population,2023,Petrol,Co. Offaly,Tractors & Machinery,All years,Number,11
Vehicle Population,2023,Petrol,Co. Offaly,Small PSVs,All years,Number,6
Vehicle Population,2023,Petrol,Co. Offaly,Large PSVs,All years,Number,0
Vehicle Population,2023,Petrol,Co. Offaly,Exempt vehicles,All years,Number,35
Vehicle Population,2023,Petrol,Co. Offaly,Other vehicles,All years,Number,497
Vehicle Population,2023,Petrol,Co. Westmeath,Private cars,All years,Number,11576
Vehicle Population,2023,Petrol,Co. Westmeath,Goods vehicles,All years,Number,19
