Statistic Label,Year,Type of Ownership,Engine Capacity cc,Fuel Type,County of Ownership,Year of Registration,UNIT,VALUE
Kilometres Travelled,2023,All owners,1001 - 1200 cc,Diesel,Co. Tipperary,All years,Million,3
Kilometres Travelled,2023,All owners,1001 - 1200 cc,Diesel,Co. Waterford,All years,Million,2
Kilometres Travelled,2023,All owners,1001 - 1200 cc,Diesel,Co. Westmeath,All years,Million,2
Kilometres Travelled,2023,All owners,1001 - 1200 cc,Diesel,Co. Wexford,All years,Million,3
Kilometres Travelled,2023,All owners,1001 - 1200 cc,Diesel,Co. Wicklow,All years,Million,2
Kilometres Travelled,2023,All owners,1001 - 1200 cc,Other fuel types,Co. Carlow,All years,Million,1
Kilometres Travelled,2023,All owners,1001 - 1200 cc,Other fuel types,Co. Cavan,All years,Million,1
Kilometres Travelled,2023,All owners,1001 - 1200 cc,Other fuel types,Co. Clare,All years,Million,2
Kilometres Travelled,2023,All owners,1001 - 1200 cc,Other fuel types,Co. Cork,All years,Million,8
Kilometres Travelled,2023,All owners,1001 - 1200 cc,Other fuel types,Co. Donegal,All years,Million,2
Kilometres Travelled,2023,All owners,1001 - 1200 cc,Other fuel types,Co. Dublin,All years,Million,13
Kilometres Travelled,2023,All owners,1001 - 1200 cc,Other fuel types,Co. Galway,All years,Million,2
Kilometres Travelled,2023,All owners,1001 - 1200 cc,Other fuel types,Co. Kerry,All years,Million,2
Kilometres Travelled,2023,All owners,1001 - 1200 cc,Other fuel types,Co. Kildare,All years,Million,4
Kilometres Travelled,2023,All owners,1001 - 1200 cc,Other fuel types,Co. Kilkenny,All years,Million,1
Kilometres Travelled,2023,All owners,1001 - 1200 cc,Other fuel types,Co. Laois,All years,Million,1
Kilometres Travelled,2023,All owners,1001 - 1200 cc,Other fuel types,Co. Leitrim,All years,Million,0
Kilometres Travelled,2023,All owners,1001 - 1200 cc,Other fuel types,Co. Limerick,All years,Million,2
Kilometres Travelled,2023,All owners,1001 - 1200 cc,Other fuel types,Co. Longford,All years,Million,0
Kilometres Travelled,2023,All owners,1001 - 1200 cc,Other fuel types,Co. Louth,All years,Million,2
Kilometres Travelled,2023,All owners,1001 - 1200 cc,Other fuel types,Co. Mayo,All years,Million,1
Kilometres Travelled,2023,All owners,1001 - 1200 cc,Other fuel types,Co. Meath,All years,Million,4
Kilometres Travelled,2023,All owners,1001 - 1200 cc,Other fuel types,Co. Monaghan,All years,Million,0
Kilometres Travelled,2023,All owners,1001 - 1200 cc,Other fuel types,Co. Offaly,All years,Million,1
Kilometres Travelled,2023,All owners,1001 - 1200 cc,Other fuel types,Co. Roscommon,All years,Million,1
Kilometres Travelled,2023,All owners,1001 - 1200 cc,Other fuel types,Co. Sligo,All years,Million,1
Kilometres Travelled,2023,All owners,1001 - 1200 cc,Other fuel types,Co. Tipperary,All years,Million,2
Kilometres Travelled,2023,All owners,1001 - 1200 cc,Other fuel types,Co. Waterford,All years,Million,2
Kilometres Travelled,2023,All owners,1001 - 1200 cc,Other fuel types,Co. Westmeath,All years,Million,1
Kilometres Travelled,2023,All owners,1001 - 1200 cc,Other fuel types,Co. Wexford,All years,Million,3
Kilometres Travelled,2023,All owners,1001 - 1200 cc,Other fuel types,Co. Wicklow,All years,Million,2
Kilometres Travelled,2023,All owners,1201 - 1400 cc,Petrol,Co. Carlow,All years,Million,37
Kilometres Travelled,2023,All owners,1201 - 1400 cc,Petrol,Co. Cavan,All years,Million,35
Kilometres Travelled,2023,All owners,1201 - 1400 cc,Petrol,Co. Clare,All years,Million,87
Kilometres Travelled,2023,All owners,1201 - 1400 cc,Petrol,Co. Cork,All years,Million,415
Kilometres Travelled,2023,All owners,1201 - 1400 cc,Petrol,Co. Donegal,All years,Million,94
Kilometres Travelled,2023,All owners,1201 - 1400 cc,Petrol,Co. Dublin,All years,Million,752
Kilometres Travelled,2023,All owners,1201 - 1400 cc,Petrol,Co. Galway,All years,Million,170
Kilometres Travelled,2023,All owners,1201 - 1400 cc,Petrol,Co. Kerry,All years,Million,113
Kilometres Travelled,2023,All owners,1201 - 1400 cc,Petrol,Co. Kildare,All years,Million,154
Kilometres Travelled,2023,All owners,1201 - 1400 cc,Petrol,Co. Kilkenny,All years,Million,61
Kilometres Travelled,2023,All owners,1201 - 1400 cc,Petrol,Co. Laois,All years,Million,43
Kilometres Travelled,2023,All owners,1201 - 1400 cc,Petrol,Co. Leitrim,All years,Million,21
Kilometres Travelled,2023,All owners,1201 - 1400 cc,Petrol,Co. Limerick,All years,Million,135
Kilometres Travelled,2023,All owners,1201 - 1400 cc,Petrol,Co. Longford,All years,Million,21
Kilometres Travelled,2023,All owners,1201 - 1400 cc,Petrol,Co. Louth,All years,Million,67
Kilometres Travelled,2023,All owners,1201 - 1400 cc,Petrol,Co. Mayo,All years,Million,83
Kilometres Travelled,2023,All owners,1201 - 1400 cc,Petrol,Co. Meath,All years,Million,122
Kilometres Travelled,2023,All owners,1201 - 1400 cc,Petrol,Co. Monaghan,All years,Million,30
Kilometres Travelled,2023,All owners,1201 - 1400 cc,Petrol,Co. Offaly,All years,Million,42
Kilometres Travelled,2023,All owners,1201 - 1400 cc,Petrol,Co. Roscommon,All years,Million,51
Kilometres Travelled,2023,All owners,1201 - 1400 cc,Petrol,Co. Sligo,All years,Million,43
Kilometres Travelled,2023,All owners,1201 - 1400 cc,Petrol,Co. Tipperary,All years,Million,106
Kilometres Travelled,2023,All owners,1201 - 1400 cc,Petrol,Co. Waterford,All years,Million,93
Kilometres Travelled,2023,All owners,1201 - 1400 cc,Petrol,Co. Westmeath,All years,Million,50
Kilometres Travelled,2023,All owners,1201 - 1400 cc,Petrol,Co. Wexford,All years,Million,100
Kilometres Travelled,2023,All owners,1201 - 1400 cc,Petrol,Co. Wicklow,All years,Million,109
Kilometres Travelled,2023,All owners,1201 - 1400 cc,Diesel,Co. Carlow,All years,Million,19
Kilometres Travelled,2023,All owners,1201 - 1400 cc,Diesel,Co. Cavan,All years,Million,27
Kilometres Travelled,2023,All owners,1201 - 1400 cc,Diesel,Co. Clare,All years,Million,38
Kilometres Travelled,2023,All owners,1201 - 1400 cc,Diesel,Co. Cork,All years,Million,148
Kilometres Travelled,2023,All owners,1201 - 1400 cc,Diesel,Co. Donegal,All years,Million,59
Kilometres Travelled,2023,All owners,1201 - 1400 cc,Diesel,Co. Dublin,All years,Million,95
Kilometres Travelled,2023,All owners,1201 - 1400 cc,Diesel,Co. Galway,All years,Million,72
Kilometres Travelled,2023,All owners,1201 - 1400 cc,Diesel,Co. Kerry,All years,Million,49
Kilometres Travelled,2023,All owners,1201 - 1400 cc,Diesel,Co. Kildare,All years,Million,43
Kilometres Travelled,2023,All owners,1201 - 1400 cc,Diesel,Co. Kilkenny,All years,Million,33
Kilometres Travelled,2023,All owners,1201 - 1400 cc,Diesel,Co. Laois,All years,Million,21
Kilometres Travelled,2023,All owners,1201 - 1400 cc,Diesel,Co. Leitrim,All years,Million,11
Kilometres Travelled,2023,All owners,1201 - 1400 cc,Diesel,Co. Limerick,All years,Million,60
Kilometres Travelled,2023,All owners,1201 - 1400 cc,Diesel,Co. Longford,All years,Million,13
Kilometres Travelled,2023,All owners,1201 - 1400 cc,Diesel,Co. Louth,All years,Million,26
Kilometres Travelled,2023,All owners,1201 - 1400 cc,Diesel,Co. Mayo,All years,Million,48
Kilometres Travelled,2023,All owners,1201 - 1400 cc,Diesel,Co. Meath,All years,Million,47
Kilometres Travelled,2023,All owners,1201 - 1400 cc,Diesel,Co. Monaghan,All years,Million,18
Kilometres Travelled,2023,All owners,1201 - 1400 cc,Diesel,Co. Offaly,All years,Million,29
Kilometres Travelled,2023,All owners,1201 - 1400 cc,Diesel,Co. Roscommon,All years,Million,26
Kilometres Travelled,2023,All owners,1201 - 1400 cc,Diesel,Co. Sligo,All years,Million,19
Kilometres Travelled,2023,All owners,1201 - 1400 cc,Diesel,Co. Tipperary,All years,Million,59
Kilometres Travelled,2023,All owners,1201 - 1400 cc,Diesel,Co. Waterford,All years,Million,29
Kilometres Travelled,2023,All owners,1201 - 1400 cc,Diesel,Co. Westmeath,All years,Million,29
Kilometres Travelled,2023,All owners,1201 - 1400 cc,Diesel,Co. Wexford,All years,Million,47
Kilometres Travelled,2023,All owners,1201 - 1400 cc,Diesel,Co. Wicklow,All years,Million,30
Kilometres Travelled,2023,All owners,1201 - 1400 cc,Other fuel types,Co. Carlow,All years,Million,1
Kilometres Travelled,2023,All owners,1201 - 1400 cc,Other fuel types,Co. Cavan,All years,Million,1
Kilometres Travelled,2023,All owners,1201 - 1400 cc,Other fuel types,Co. Clare,All years,Million,2
Kilometres Travelled,2023,All owners,1201 - 1400 cc,Other fuel types,Co. Cork,All years,Million,9
Kilometres Travelled,2023,All owners,1201 - 1400 cc,Other fuel types,Co. Donegal,All years,Million,1
Kilometres Travelled,2023,All owners,1201 - 1400 cc,Other fuel types,Co. Dublin,All years,Million,50
Kilometres Travelled,2023,All owners,1201 - 1400 cc,Other fuel types,Co. Galway,All years,Million,5
Kilometres Travelled,2023,All owners,1201 - 1400 cc,Other fuel types,Co. Kerry,All years,Million,1
Kilometres Travelled,2023,All owners,1201 - 1400 cc,Other fuel types,Co. Kildare,All years,Million,7
Kilometres Travelled,2023,All owners,1201 - 1400 cc,Other fuel types,Co. Kilkenny,All years,Million,1
Kilometres Travelled,2023,All owners,1201 - 1400 cc,Other fuel types,Co. Laois,All years,Million,1
Kilometres Travelled,2023,All owners,1201 - 1400 cc,Other fuel types,Co. Leitrim,All years,Million,0
Kilometres Travelled,2023,All owners,1201 - 1400 cc,Other fuel types,Co. Limerick,All years,Million,4
Kilometres Travelled,2023,All owners,1201 - 1400 cc,Other fuel types,Co. Longford,All years,Million,0
Kilometres Travelled,2023,All owners,1201 - 1400 cc,Other fuel types,Co. Louth,All years,Million,2
Kilometres Travelled,2023,All owners,1201 - 1400 cc,Other fuel types,Co. Mayo,All years,Million,1
Kilometres Travelled,2023,All owners,1201 - 1400 cc,Other fuel types,Co. Meath,All years,Million,5
Kilometres Travelled,2023,All owners,1201 - 1400 cc,Other fuel types,Co. Monaghan,All years,Million,1
Kilometres Travelled,2023,All owners,1201 - 1400 cc,Other fuel types,Co. Offaly,All years,Million,1
Kilometres Travelled,2023,All owners,1201 - 1400 cc,Other fuel types,Co. Roscommon,All years,Million,1
Kilometres Travelled,2023,All owners,1201 - 1400 cc,Other fuel types,Co. Sligo,All years,Million,1
Kilometres Travelled,2023,All owners,1201 - 1400 cc,Other fuel types,Co. Tipperary,All years,Million,2
Kilometres Travelled,2023,All owners,1201 - 1400 cc,Other fuel types,Co. Waterford,All years,Million,2
Kilometres Travelled,2023,All owners,1201 - 1400 cc,Other fuel types,Co. Westmeath,All years,Million,1
Kilometres Travelled,2023,All owners,1201 - 1400 cc,Other fuel types,Co. Wexford,All years,Million,2
Kilometres Travelled,2023,All owners,1201 - 1400 cc,Other fuel types,Co. Wicklow,All years,Million,4
Kilometres Travelled,2023,All owners,1401 - 1600 cc,Petrol,Co. Carlow,All years,Million,14
Kilometres Travelled,2023,All owners,1401 - 1600 cc,Petrol,Co. Cavan,All years,Million,15
Kilometres Travelled,2023,All owners,1401 - 1600 cc,Petrol,Co. Clare,All years,Million,35
Kilometres Travelled,2023,All owners,1401 - 1600 cc,Petrol,Co. Cork,All years,Million,155
Kilometres Travelled,2023,All owners,1401 - 1600 cc,Petrol,Co. Donegal,All years,Million,30
Kilometres Travelled,2023,All owners,1401 - 1600 cc,Petrol,Co. Dublin,All years,Million,380
Kilometres Travelled,2023,All owners,1401 - 1600 cc,Petrol,Co. Galway,All years,Million,67
Kilometres Travelled,2023,All owners,1401 - 1600 cc,Petrol,Co. Kerry,All years,Million,45
Kilometres Travelled,2023,All owners,1401 - 1600 cc,Petrol,Co. Kildare,All years,Million,65
Kilometres Travelled,2023,All owners,1401 - 1600 cc,Petrol,Co. Kilkenny,All years,Million,22
Kilometres Travelled,2023,All owners,1401 - 1600 cc,Petrol,Co. Laois,All years,Million,17
Kilometres Travelled,2023,All owners,1401 - 1600 cc,Petrol,Co. Leitrim,All years,Million,7
Kilometres Travelled,2023,All owners,1401 - 1600 cc,Petrol,Co. Limerick,All years,Million,51
Kilometres Travelled,2023,All owners,1401 - 1600 cc,Petrol,Co. Longford,All years,Million,8
Kilometres Travelled,2023,All owners,1401 - 1600 cc,Petrol,Co. Louth,All years,Million,26
Kilometres Travelled,2023,All owners,1401 - 1600 cc,Petrol,Co. Mayo,All years,Million,29
Kilometres Travelled,2023,All owners,1401 - 1600 cc,Petrol,Co. Meath,All years,Million,51
Kilometres Travelled,2023,All owners,1401 - 1600 cc,Petrol,Co. Monaghan,All years,Million,9
Kilometres Travelled,2023,All owners,1401 - 1600 cc,Petrol,Co. Offaly,All years,Million,16
Kilometres Travelled,2023,All owners,1401 - 1600 cc,Petrol,Co. Roscommon,All years,Million,19
Kilometres Travelled,2023,All owners,1401 - 1600 cc,Petrol,Co. Sligo,All years,Million,15
Kilometres Travelled,2023,All owners,1401 - 1600 cc,Petrol,Co. Tipperary,All years,Million,41
Kilometres Travelled,2023,All owners,1401 - 1600 cc,Petrol,Co. Waterford,All years,Million,34
Kilometres Travelled,2023,All owners,1401 - 1600 cc,Petrol,Co. Westmeath,All years,Million,18
Kilometres Travelled,2023,All owners,1401 - 1600 cc,Petrol,Co. Wexford,All years,Million,38
Kilometres Travelled,2023,All owners,1401 - 1600 cc,Petrol,Co. Wicklow,All years,Million,46
Kilometres Travelled,2023,All owners,1401 - 1600 cc,Diesel,Co. Carlow,All years,Million,175
Kilometres Travelled,2023,All owners,1401 - 1600 cc,Diesel,Co. Cavan,All years,Million,213
Kilometres Travelled,2023,All owners,1401 - 1600 cc,Diesel,Co. Clare,All years,Million,346
Kilometres Travelled,2023,All owners,1401 - 1600 cc,Diesel,Co. Cork,All years,Million,1157
Kilometres Travelled,2023,All owners,1401 - 1600 cc,Diesel,Co. Donegal,All years,Million,385
Kilometres Travelled,2023,All owners,1401 - 1600 cc,Diesel,Co. Dublin,All years,Million,1376
Kilometres Travelled,2023,All owners,1401 - 1600 cc,Diesel,Co. Galway,All years,Million,614
Kilometres Travelled,2023,All owners,1401 - 1600 cc,Diesel,Co. Kerry,All years,Million,411
Kilometres Travelled,2023,All owners,1401 - 1600 cc,Diesel,Co. Kildare,All years,Million,509
Kilometres Travelled,2023,All owners,1401 - 1600 cc,Diesel,Co. Kilkenny,All years,Million,269
Kilometres Travelled,2023,All owners,1401 - 1600 cc,Diesel,Co. Laois,All years,Million,244
Kilometres Travelled,2023,All owners,1401 - 1600 cc,Diesel,Co. Leitrim,All years,Million,95
Kilometres Travelled,2023,All owners,1401 - 1600 cc,Diesel,Co. Limerick,All years,Million,468
Kilometres Travelled,2023,All owners,1401 - 1600 cc,Diesel,Co. Longford,All years,Million,107
Kilometres Travelled,2023,All owners,1401 - 1600 cc,Diesel,Co. Louth,All years,Million,266
Kilometres Travelled,2023,All owners,1401 - 1600 cc,Diesel,Co. Mayo,All years,Million,362
Kilometres Travelled,2023,All owners,1401 - 1600 cc,Diesel,Co. Meath,All years,Million,474
Kilometres Travelled,2023,All owners,1401 - 1600 cc,Diesel,Co. Monaghan,All years,Million,171
Kilometres Travelled,2023,All owners,1401 - 1600 cc,Diesel,Co. Offaly,All years,Million,234
Kilometres Travelled,2023,All owners,1401 - 1600 cc,Diesel,Co. Roscommon,All years,Million,208
Kilometres Travelled,2023,All owners,1401 - 1600 cc,Diesel,Co. Sligo,All years,Million,156
Kilometres Travelled,2023,All owners,1401 - 1600 cc,Diesel,Co. Tipperary,All years,Million,501
Kilometres Travelled,2023,All owners,1401 - 1600 cc,Diesel,Co. Waterford,All years,Million,286
Kilometres Travelled,2023,All owners,1401 - 1600 cc,Diesel,Co. Westmeath,All years,Million,261
Kilometres Travelled,2023,All owners,1401 - 1600 cc,Diesel,Co. Wexford,All years,Million,493
Kilometres Travelled,2023,All owners,1401 - 1600 cc,Diesel,Co. Wicklow,All years,Million,284
Kilometres Travelled,2023,All owners,1401 - 1600 cc,Other fuel types,Co. Carlow,All years,Million,6
Kilometres Travelled,2023,All owners,1401 - 1600 cc,Other fuel types,Co. Cavan,All years,Million,7
Kilometres Travelled,2023,All owners,1401 - 1600 cc,Other fuel types,Co. Clare,All years,Million,15
Kilometres Travelled,2023,All owners,1401 - 1600 cc,Other fuel types,Co. Cork,All years,Million,77
Kilometres Travelled,2023,All owners,1401 - 1600 cc,Other fuel types,Co. Donegal,All years,Million,18
Kilometres Travelled,2023,All owners,1401 - 1600 cc,Other fuel types,Co. Dublin,All years,Million,257
Kilometres Travelled,2023,All owners,1401 - 1600 cc,Other fuel types,Co. Galway,All years,Million,32
Kilometres Travelled,2023,All owners,1401 - 1600 cc,Other fuel types,Co. Kerry,All years,Million,15
Kilometres Travelled,2023,All owners,1401 - 1600 cc,Other fuel types,Co. Kildare,All years,Million,40
Kilometres Travelled,2023,All owners,1401 - 1600 cc,Other fuel types,Co. Kilkenny,All years,Million,12
Kilometres Travelled,2023,All owners,1401 - 1600 cc,Other fuel types,Co. Laois,All years,Million,10
Kilometres Travelled,2023,All owners,1401 - 1600 cc,Other fuel types,Co. Leitrim,All years,Million,3
Kilometres Travelled,2023,All owners,1401 - 1600 cc,Other fuel types,Co. Limerick,All years,Million,24
Kilometres Travelled,2023,All owners,1401 - 1600 cc,Other fuel types,Co. Longford,All years,Million,4
Kilometres Travelled,2023,All owners,1401 - 1600 cc,Other fuel types,Co. Louth,All years,Million,17
Kilometres Travelled,2023,All owners,1401 - 1600 cc,Other fuel types,Co. Mayo,All years,Million,11
Kilometres Travelled,2023,All owners,1401 - 1600 cc,Other fuel types,Co. Meath,All years,Million,29
Kilometres Travelled,2023,All owners,1401 - 1600 cc,Other fuel types,Co. Monaghan,All years,Million,4
Kilometres Travelled,2023,All owners,1401 - 1600 cc,Other fuel types,Co. Offaly,All years,Million,9
Kilometres Travelled,2023,All owners,1401 - 1600 cc,Other fuel types,Co. Roscommon,All years,Million,8
Kilometres Travelled,2023,All owners,1401 - 1600 cc,Other fuel types,Co. Sligo,All years,Million,8
Kilometres Travelled,2023,All owners,1401 - 1600 cc,Other fuel types,Co. Tipperary,All years,Million,18
Kilometres Travelled,2023,All owners,1401 - 1600 cc,Other fuel types,Co. Waterford,All years,Million,14
Kilometres Travelled,2023,All owners,1401 - 1600 cc,Other fuel types,Co. Westmeath,All years,Million,11
Kilometres Travelled,2023,All owners,1401 - 1600 cc,Other fuel types,Co. Wexford,All years,Million,17
Kilometres Travelled,2023,All owners,1401 - 1600 cc,Other fuel types,Co. Wicklow,All years,Million,22
Kilometres Travelled,2023,All owners,1601 - 1800 cc,Petrol,Co. Carlow,All years,Million,3
Kilometres Travelled,2023,All owners,1601 - 1800 cc,Petrol,Co. Cavan,All years,Million,3
Kilometres Travelled,2023,All owners,1601 - 1800 cc,Petrol,Co. Clare,All years,Million,6
Kilometres Travelled,2023,All owners,1601 - 1800 cc,Petrol,Co. Cork,All years,Million,27
Kilometres Travelled,2023,All owners,1601 - 1800 cc,Petrol,Co. Donegal,All years,Million,4
Kilometres Travelled,2023,All owners,1601 - 1800 cc,Petrol,Co. Dublin,All years,Million,82
Kilometres Travelled,2023,All owners,1601 - 1800 cc,Petrol,Co. Galway,All years,Million,12
